id,value
root.topic11.chemistry.nobel,1
root.topic11.chemistry.prize,1
root.topic11.chemistry.robert,1
root.topic11.chemistry.scientists,1
root.topic11.chemistry.two,1
root.topic11.chemistry.win,1
root.topic12,1
root.topic12.syrian,1
root.topic12.syrian.ankara,1
root.topic12.syrian.fighter,1
root.topic12.syrian.force,1
root.topic12.syrian.intercepts,1
root.topic12.syrian.land,1
root.topic12.syrian.passenger,1
root.topic12.syrian.plane,1
root.topic12.syrian.syria,1
root.topic12.syrian.turkey,1
root.topic12.syrian.turkish,1
root.topic12.plane,1
root.topic12.plane.ankara,1
root.topic12.plane.carrying,1
root.topic12.plane.fighter,1
root.topic12.plane.force,1
root.topic12.plane.intercepts,1
root.topic12.plane.jets,1
root.topic12.plane.land,1
root.topic12.plane.passenger,1
root.topic12.plane.suspected,1
root.topic12.plane.syria,1
root.topic12.plane.syrian,1
root.topic12.plane.turkey,1
root.topic12.plane.turkish,1
root.topic12.turkey,1
root.topic12.turkey.ankara,1
root.topic12.turkey.carrying,1
root.topic12.turkey.fighter,1
root.topic12.turkey.force,1
root.topic12.turkey.forces,1
root.topic12.turkey.intercepts,1
root.topic12.turkey.land,1
root.topic12.turkey.passenger,1
root.topic12.turkey.plane,1
root.topic12.turkey.suspected,1
root.topic12.turkey.syria,1
root.topic12.turkey.syrian,1
root.topic12.turkey.turkish,1
